data_id,excluded,reason_for_exclusion
product_review_000000,0,N/A
product_review_000001,0,N/A
product_review_000002,0,N/A
product_review_000003,1,missing_value_or_label
product_review_000004,0,N/A
product_review_000005,0,N/A
product_review_000006,0,N/A
product_review_000007,0,N/A
product_review_000008,0,N/A
product_review_000009,0,N/A
product_review_000010,0,N/A
product_review_000011,0,N/A
product_review_000012,0,N/A
product_review_000013,0,N/A
product_review_000014,0,N/A
product_review_000015,0,N/A
product_review_000016,0,N/A
product_review_000017,0,N/A
product_review_000018,0,N/A
product_review_000019,0,N/A
product_review_000020,0,N/A
product_review_000021,0,N/A
product_review_000022,0,N/A
product_review_000023,0,N/A
product_review_000024,0,N/A
product_review_000025,0,N/A
product_review_000026,1,missing_value_or_label
product_review_000027,0,N/A
product_review_000028,0,N/A
product_review_000029,0,N/A
product_review_000030,0,N/A
product_review_000031,0,N/A
product_review_000032,0,N/A
product_review_000033,0,N/A
product_review_000034,0,N/A
product_review_000035,0,N/A
product_review_000036,0,N/A
product_review_000037,0,N/A
product_review_000038,0,N/A
product_review_000039,0,N/A
product_review_000040,0,N/A
product_review_000041,0,N/A
product_review_000042,0,N/A
product_review_000043,0,N/A
product_review_000044,0,N/A
product_review_000045,0,N/A
product_review_000046,0,N/A
product_review_000047,0,N/A
product_review_000048,1,missing_value_or_label
product_review_000049,0,N/A
product_review_000050,0,N/A
product_review_000051,0,N/A
product_review_000052,0,N/A
product_review_000053,0,N/A
product_review_000054,0,N/A
product_review_000055,0,N/A
product_review_000056,0,N/A
product_review_000057,0,N/A
product_review_000058,0,N/A
product_review_000059,0,N/A
product_review_000060,0,N/A
product_review_000061,0,N/A
product_review_000062,0,N/A
product_review_000063,0,N/A
product_review_000064,0,N/A
product_review_000065,0,N/A
product_review_000066,0,N/A
product_review_000067,0,N/A
product_review_000068,0,N/A
product_review_000069,0,N/A
product_review_000070,0,N/A
product_review_000071,0,N/A
product_review_000072,0,N/A
product_review_000073,0,N/A
product_review_000074,0,N/A
product_review_000075,0,N/A
product_review_000076,0,N/A
product_review_000077,0,N/A
product_review_000078,1,missing_value_or_label
product_review_000079,0,N/A
product_review_000080,0,N/A
product_review_000081,0,N/A
product_review_000082,0,N/A
product_review_000083,0,N/A
product_review_000084,0,N/A
product_review_000085,0,N/A
product_review_000086,0,N/A
product_review_000087,0,N/A
product_review_000088,0,N/A
product_review_000089,0,N/A
product_review_000090,0,N/A
product_review_000091,0,N/A
product_review_000092,0,N/A
product_review_000093,0,N/A
product_review_000094,0,N/A
product_review_000095,0,N/A
product_review_000096,0,N/A
product_review_000097,0,N/A
product_review_000098,0,N/A
product_review_000099,0,N/A
product_review_000100,0,N/A
product_review_000101,0,N/A
product_review_000102,0,N/A
product_review_000103,0,N/A
product_review_000104,0,N/A
product_review_000105,0,N/A
product_review_000106,0,N/A
product_review_000107,0,N/A
product_review_000108,0,N/A
product_review_000109,0,N/A
product_review_000110,0,N/A
product_review_000111,0,N/A
product_review_000112,0,N/A
product_review_000113,0,N/A
product_review_000114,0,N/A
product_review_000115,0,N/A
product_review_000116,0,N/A
product_review_000117,0,N/A
product_review_000118,0,N/A
product_review_000119,0,N/A
product_review_000120,0,N/A
product_review_000121,0,N/A
product_review_000122,0,N/A
product_review_000123,0,N/A
product_review_000124,0,N/A
product_review_000125,0,N/A
product_review_000126,0,N/A
product_review_000127,1,missing_value_or_label
product_review_000128,0,N/A
product_review_000129,0,N/A
product_review_000130,0,N/A
product_review_000131,0,N/A
product_review_000132,0,N/A
product_review_000133,0,N/A
product_review_000134,0,N/A
product_review_000135,0,N/A
product_review_000136,0,N/A
product_review_000137,0,N/A
product_review_000138,0,N/A
product_review_000139,0,N/A
product_review_000140,0,N/A
product_review_000141,0,N/A
product_review_000142,0,N/A
product_review_000143,0,N/A
product_review_000144,0,N/A
product_review_000145,0,N/A
product_review_000146,0,N/A
product_review_000147,0,N/A
product_review_000148,0,N/A
product_review_000149,0,N/A
product_review_000150,0,N/A
product_review_000151,0,N/A
product_review_000152,0,N/A
product_review_000153,1,missing_value_or_label
product_review_000154,0,N/A
product_review_000155,0,N/A
product_review_000156,0,N/A
product_review_000157,0,N/A
product_review_000158,0,N/A
product_review_000159,0,N/A
product_review_000160,0,N/A
product_review_000161,0,N/A
product_review_000162,0,N/A
product_review_000163,0,N/A
product_review_000164,0,N/A
product_review_000165,0,N/A
product_review_000166,0,N/A
product_review_000167,0,N/A
product_review_000168,0,N/A
product_review_000169,0,N/A
product_review_000170,0,N/A
product_review_000171,0,N/A
product_review_000172,0,N/A
product_review_000173,0,N/A
product_review_000174,0,N/A
product_review_000175,0,N/A
product_review_000176,0,N/A
product_review_000177,0,N/A
product_review_000178,0,N/A
product_review_000179,0,N/A
product_review_000180,0,N/A
product_review_000181,0,N/A
product_review_000182,0,N/A
product_review_000183,0,N/A
product_review_000184,0,N/A
product_review_000185,0,N/A
product_review_000186,0,N/A
product_review_000187,0,N/A
product_review_000188,0,N/A
product_review_000189,0,N/A
product_review_000190,0,N/A
product_review_000191,0,N/A
product_review_000192,0,N/A
product_review_000193,0,N/A
product_review_000194,0,N/A
product_review_000195,0,N/A
product_review_000196,0,N/A
product_review_000197,1,missing_value_or_label
product_review_000198,0,N/A
product_review_000199,0,N/A
product_review_000200,0,N/A
product_review_000201,0,N/A
product_review_000202,0,N/A
product_review_000203,0,N/A
product_review_000204,0,N/A
product_review_000205,0,N/A
product_review_000206,0,N/A
product_review_000207,0,N/A
product_review_000208,0,N/A
product_review_000209,0,N/A
product_review_000210,0,N/A
product_review_000211,0,N/A
product_review_000212,0,N/A
product_review_000213,0,N/A
product_review_000214,0,N/A
product_review_000215,0,N/A
product_review_000216,0,N/A
product_review_000217,0,N/A
product_review_000218,0,N/A
product_review_000219,1,missing_value_or_label
product_review_000220,0,N/A
product_review_000221,0,N/A
product_review_000222,0,N/A
product_review_000223,0,N/A
product_review_000224,0,N/A
product_review_000225,0,N/A
product_review_000226,0,N/A
product_review_000227,0,N/A
product_review_000228,0,N/A
product_review_000229,0,N/A
product_review_000230,0,N/A
product_review_000231,0,N/A
product_review_000232,0,N/A
product_review_000233,0,N/A
product_review_000234,0,N/A
product_review_000235,0,N/A
product_review_000236,0,N/A
product_review_000237,0,N/A
product_review_000238,0,N/A
product_review_000239,0,N/A
product_review_000240,0,N/A
product_review_000241,0,N/A
product_review_000242,0,N/A
product_review_000243,0,N/A
product_review_000244,0,N/A
product_review_000245,0,N/A
product_review_000246,0,N/A
product_review_000247,0,N/A
product_review_000248,0,N/A
product_review_000249,0,N/A
product_review_000250,1,missing_value_or_label
product_review_000251,0,N/A
product_review_000252,0,N/A
product_review_000253,0,N/A
product_review_000254,0,N/A
product_review_000255,0,N/A
product_review_000256,0,N/A
product_review_000257,0,N/A
product_review_000258,0,N/A
product_review_000259,0,N/A
product_review_000260,0,N/A
product_review_000261,0,N/A
product_review_000262,0,N/A
product_review_000263,0,N/A
product_review_000264,0,N/A
product_review_000265,0,N/A
product_review_000266,0,N/A
product_review_000267,0,N/A
product_review_000268,0,N/A
product_review_000269,0,N/A
product_review_000270,0,N/A
product_review_000271,0,N/A
product_review_000272,0,N/A
product_review_000273,0,N/A
product_review_000274,0,N/A
product_review_000275,0,N/A
product_review_000276,0,N/A
product_review_000277,0,N/A
product_review_000278,0,N/A
product_review_000279,0,N/A
product_review_000280,0,N/A
product_review_000281,0,N/A
product_review_000282,0,N/A
product_review_000283,0,N/A
product_review_000284,0,N/A
product_review_000285,0,N/A
product_review_000286,0,N/A
product_review_000287,0,N/A
product_review_000288,0,N/A
product_review_000289,0,N/A
product_review_000290,0,N/A
product_review_000291,0,N/A
product_review_000292,0,N/A
product_review_000293,1,missing_value_or_label
product_review_000294,0,N/A
product_review_000295,1,missing_value_or_label
product_review_000296,0,N/A
product_review_000297,0,N/A
product_review_000298,0,N/A
product_review_000299,0,N/A
product_review_000300,0,N/A
product_review_000301,0,N/A
product_review_000302,0,N/A
product_review_000303,0,N/A
product_review_000304,0,N/A
product_review_000305,0,N/A
product_review_000306,0,N/A
product_review_000307,0,N/A
product_review_000308,0,N/A
product_review_000309,0,N/A
product_review_000310,0,N/A
product_review_000311,0,N/A
product_review_000312,0,N/A
product_review_000313,0,N/A
product_review_000314,0,N/A
product_review_000315,0,N/A
product_review_000316,0,N/A
product_review_000317,0,N/A
product_review_000318,0,N/A
product_review_000319,0,N/A
product_review_000320,0,N/A
product_review_000321,1,missing_value_or_label
product_review_000322,0,N/A
product_review_000323,0,N/A
product_review_000324,0,N/A
product_review_000325,0,N/A
product_review_000326,0,N/A
product_review_000327,0,N/A
product_review_000328,0,N/A
product_review_000329,0,N/A
product_review_000330,0,N/A
product_review_000331,0,N/A
product_review_000332,0,N/A
product_review_000333,0,N/A
product_review_000334,0,N/A
product_review_000335,0,N/A
product_review_000336,0,N/A
product_review_000337,0,N/A
product_review_000338,0,N/A
product_review_000339,0,N/A
product_review_000340,0,N/A
product_review_000341,0,N/A
product_review_000342,0,N/A
product_review_000343,0,N/A
product_review_000344,0,N/A
product_review_000345,0,N/A
product_review_000346,0,N/A
product_review_000347,0,N/A
product_review_000348,0,N/A
product_review_000349,0,N/A
product_review_000350,0,N/A
product_review_000351,0,N/A
product_review_000352,0,N/A
product_review_000353,0,N/A
product_review_000354,0,N/A
product_review_000355,0,N/A
product_review_000356,0,N/A
product_review_000357,0,N/A
product_review_000358,0,N/A
product_review_000359,0,N/A
product_review_000360,0,N/A
product_review_000361,0,N/A
product_review_000362,0,N/A
product_review_000363,0,N/A
product_review_000364,0,N/A
product_review_000365,1,missing_value_or_label
product_review_000366,0,N/A
product_review_000367,0,N/A
product_review_000368,0,N/A
product_review_000369,0,N/A
product_review_000370,0,N/A
product_review_000371,0,N/A
product_review_000372,0,N/A
product_review_000373,0,N/A
product_review_000374,1,missing_value_or_label
product_review_000375,0,N/A
product_review_000376,0,N/A
product_review_000377,0,N/A
product_review_000378,0,N/A
product_review_000379,0,N/A
product_review_000380,0,N/A
product_review_000381,0,N/A
product_review_000382,0,N/A
product_review_000383,0,N/A
product_review_000384,0,N/A
product_review_000385,0,N/A
product_review_000386,0,N/A
product_review_000387,0,N/A
product_review_000388,0,N/A
product_review_000389,0,N/A
product_review_000390,0,N/A
product_review_000391,0,N/A
product_review_000392,0,N/A
product_review_000393,0,N/A
product_review_000394,0,N/A
product_review_000395,0,N/A
product_review_000396,0,N/A
product_review_000397,0,N/A
product_review_000398,0,N/A
product_review_000399,0,N/A
product_review_000400,0,N/A
product_review_000401,0,N/A
product_review_000402,0,N/A
product_review_000403,0,N/A
product_review_000404,0,N/A
product_review_000405,0,N/A
product_review_000406,0,N/A
product_review_000407,0,N/A
product_review_000408,0,N/A
product_review_000409,0,N/A
product_review_000410,0,N/A
product_review_000411,0,N/A
product_review_000412,0,N/A
product_review_000413,0,N/A
product_review_000414,0,N/A
product_review_000415,0,N/A
product_review_000416,0,N/A
product_review_000417,0,N/A
product_review_000418,0,N/A
product_review_000419,0,N/A
product_review_000420,0,N/A
product_review_000421,0,N/A
product_review_000422,0,N/A
product_review_000423,0,N/A
product_review_000424,0,N/A
product_review_000425,0,N/A
product_review_000426,0,N/A
product_review_000427,0,N/A
product_review_000428,0,N/A
product_review_000429,1,missing_value_or_label
product_review_000430,0,N/A
product_review_000431,0,N/A
product_review_000432,0,N/A
product_review_000433,0,N/A
product_review_000434,0,N/A
product_review_000435,0,N/A
product_review_000436,0,N/A
product_review_000437,0,N/A
product_review_000438,0,N/A
product_review_000439,0,N/A
product_review_000440,0,N/A
product_review_000441,0,N/A
product_review_000442,0,N/A
product_review_000443,0,N/A
product_review_000444,0,N/A
product_review_000445,0,N/A
product_review_000446,0,N/A
product_review_000447,0,N/A
product_review_000448,0,N/A
product_review_000449,0,N/A
product_review_000450,0,N/A
